"","Location","X","newDates","snips","items","sources","URL","Date","wellFormed","week","weekNum","lng","lat","adminName1"
"26","AMTALI",1225,"Friday, February 15, 2008","AMTALI - Owners and workers of poultry farms in remote parts of Tripura have appealed to the State Government to relax the ban on the sale of birds to ease the crisis their industry is facing in the wake of the bird flu outbreak.","Bird flu scare hits poultry business","Newindiapress.com","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=3780",2008-02-15,TRUE,5,-494,"90.24201","22.08161","Barisāl"
"27","ANALYSIS",1529,"Tuesday, November 17, 2015","ANALYSIS - Harrisvaccines was recently awarded a US government stockpile contract to produce 48 million doses of avian influenza vaccine, utilising their unique rapid response SirraVax platform technology.","Harrisvaccines' Rapid Response Leads to Avian Influenza Contract","ThePoultrySite","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=420",2015-11-17,TRUE,2,-89,"-90.2589","38.6276","Missouri"
"28","ANALYSIS",1503,"Tuesday, October 27, 2015","ANALYSIS - At first sight, the egg industries of the United Kingdom and United States might not have much in common. However, a recent meeting revealed that they have both suffered major crises and are constantly challenged by regulations as well as market forces, reports Jackie Linden.","Recovering From Crisis: Shared Experiences of UK and US Egg Sectors","ThePoultrySite","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=440",2015-10-27,TRUE,2,-92,"-90.2589","38.6276","Missouri"
"29","ANALYSIS",1740,"Thursday, August 25, 2016","ANALYSIS - The risk of high-path avian influenza (HPAI) is expected to have a major impact on US poultry exports in the next few years, according to a report from Rabobank.","US Poultry Export Potential Driven by Avian Flu","ThePoultrySite","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=220",2016-08-25,TRUE,4,-49,"-90.2589","38.6276","Missouri"
"30","ANALYSIS",1522,"Monday, November 23, 2015","ANALYSIS - RNA virus' mutate very rapidly, but Harrisvaccines does not have to guess which strain is going to affect the industry next thanks to their unique rapid response technology.","Avian Influenza US Outlook for 2016","ThePoultrySite","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=420",2015-11-23,TRUE,1,-88,"-90.2589","38.6276","Missouri"
"31","ANALYSIS",1555,"Friday, November 27, 2015","ANALYSIS - With three outbreaks in the last year, avian influenza was a key topic at the recent Egg and Poultry Industry Conference (EPIC) for the UK poultry sector. Jackie Linden reports on several of the meeting’s key presentations on this topic for ThePoultrySite.","Avian Flu: the Greatest Risk Faced by the UK Poultry Industry?","ThePoultrySite","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=400",2015-11-27,TRUE,5,-88,"-90.2589","38.6276","Missouri"
"32","ANCHORAGE",527,"Friday, March 16, 2007","ANCHORAGE - Scientists say a new report brings good news regarding Alaska's potential avian influenza threat. Last spring, many were concerned that millions of wild birds migrating from Asia might bring a deadly strain of bird flu, known as H5N1, with them.","Scientists doubt sick birds can migrate to Alaska","KTUU.com","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4480",2007-03-16,TRUE,5,-542,"-149.90028","61.21806","Alaska"
"33","ANG THONG",337,"Friday, February 02, 2007","ANG THONG - The Livestock Development Department has confirmed this year's third bird flu outbreak, found in indigenous chickens and fighting cocks in the central province of Ang Thong.Livestock chief Pirom Srichan said on Thursday that his staff were alerted to the unusual deaths of six of 15 chickens belonging to a villager in Samko district last week.","Third bird flu outbreak found in Ang Thong","Bangkok Post","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4680",2007-02-02,TRUE,5,-548,"100.45283","14.58839","Ang Thong"
"34","ANKARA",694,"Wednesday, May 02, 2007","ANKARA - Israel lifted the ban on imports of chicken from Turkey that was imposed because of bird flu cases seen last year, said state minister Kursad Tuzmen on Monday. ","Isreal Lifts The Ban On Chicken Imports From Turkey","TurkishPress","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4320",2007-05-02,TRUE,3,-535,"32.85427","39.91987","Ankara"
"35","ANKARA",398,"Friday, February 09, 2007","ANKARA - Bird flu has been detected among poultry in a village in the southeastern Turkish province of Batman, with experts still examining whether it is the highly pathogenic H5N1 strain, the agriculture ministry said Thursday. ","Bird flu resurfaces among poultry in southeast Turkey","Turkish Press","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4620",2007-02-09,TRUE,5,-547,"32.85427","39.91987","Ankara"
"36","ANKARA",1501,"Friday, July 18, 2008","ANKARA, TURKEY - Turkey officially informed the World Organization for Animal Health that avian influenza disappeared from the country. ","Turkey Says Bird Flu Cases Disappear","Turkish Press","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=3500",2008-07-18,TRUE,5,-472,"32.85427","39.91987","Ankara"
"37","ANKARA",1168,"Tuesday, January 22, 2008","ANKARA - A bird flu outbreak has been discovered among poultry in a northern Turkish village, Anatolia news agency reported, citing a ministry statement.","Bird flu found on farm in Turkey","Forbes","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=3840",2008-01-22,TRUE,2,-497,"32.85427","39.91987","Ankara"
"38","ARGENTINA",2179,"Wednesday, July 08, 2009","ARGENTINA - Cruzeiro are demanding a ruling on the viability of playing a Libertadores Cup match at Estudiantes on Wednesday amid an outbreak of the H1N1 flu strain in Argentina that has claimed 60 lives.","Bird Flu Threatens Copa Libertadores Final","ESPN Soccernet","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=2840",2009-07-08,TRUE,3,-421,"-64","-34",""
"39","ARKANSAS",1094,"Friday, March 13, 2015","ARKANSAS, US - USDA has confirmed highly pathogenic H5N2 avian influenza in a commercial turkey flock in Arkansas.","High-path H5N2 Avian Flu Confirmed in Arkansas Turkeys","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=860",2015-03-13,TRUE,5,-125,"-92.50044","34.75037","Arkansas"
"40","ARMENIA",1328,"Tuesday, June 02, 2015","ARMENIA - Armenia has banned the import of poultry products from a number of US states over bird flu concerns, the press service of the Armenian Agriculture Ministry’s service on food safety has said.","Armenia Bans US Poultry Imports","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=620",2015-06-02,TRUE,2,-113,"45","40.25",""
"41","ARMENIA",281,"Monday, August 26, 2013","ARMENIA - Armenia's State Service for Food Safety of the Ministry of Agriculture temporarily banned the import of certain products from Italy, ARKA reported citing the agency's official website.","Armenia Bans Import of Certain Products from Italy Due to Bird Flu ","Trend","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1660",2013-08-26,TRUE,1,-205,"45","40.25",""
"42","ARMENIA",428,"Friday, February 16, 2007","ARMENIA - Western donors have approved $2 million in additional assistance designed to help Armenia remain unaffected by recurring outbreaks of bird flu around the world that have again hit neighboring Turkey.The grant was released late Wednesday by the World Bank, which is administrating a special fund set by eight donor agencies, including the European Union, to combat the worldwide spread of the potentially lethal disease.","Armenia Gets More Aid To Ward Off Bird Flu","Armenia Liberty.org","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4580",2007-02-16,TRUE,5,-546,"45","40.25",""
"43","ASIA",703,"Monday, July 07, 2014","ASIA -  VietNam is among six Asian countries vulnerable to the H7N9 avian influenza virus strain as they have many live poultry markets located inside residential areas, health experts have warned.These countries include China, Bangladesh, India, Indonesia, the Philippines and Viet Nam, a group of scientists at the Free University of Brussels, the Kenya-based International Livestock Research Institute, Oxford University, and the Chinese Center for Disease Control and Prevention said in a recent study on the spread of the H7N9 virus.Areas at the highest risk of the H7N9 epidemic are those located in China’s eastern and southeastern coastal localities, the Bengal region – including Bangladesh and the Indian state of West Bengal – the upstream area of the Hong (Red) and Mekong Rivers in Viet Nam, and many remote and isolated places in Indonesia and the Philippines.","Viet Nam among Six Asian Countries Prone to H7N9 Bird Flu ","Tuoitre News","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1240",2014-07-07,TRUE,1,-160,"89.29688","29.84064",""
"44","ASIA",282,"Friday, January 26, 2007","ASIA - The northern winter has brought with it a resurgence of avian influenza, with quarantine workers this week starting to slaughter hundreds of thousands of poultry after fresh outbreaks of the deadly H5N1 strain in Asia. Experts warned the outbreaks in Asia and the first confirmed case in Europe this year indicated governments had failed to control the virus, raising the possibility of further problems throughout the European winter.","Mass bird cull in Asia as avian flu resurfaces","The Sydney Morning Herald","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4720",2007-01-26,TRUE,5,-549,"89.29688","29.84064",""
"45","ASIA",1128,"Monday, January 07, 2008","ASIA - Asia-Pacific health ministers said on Friday that a ""climate of fear"" that accompanies the outbreak of infectious diseases such as bird flu could have a devastating impact on Asia's economies. ","""Climate of Fear"" Could Hit Asian Countries","HindustanTimes","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=3880",2008-01-07,TRUE,1,-499,"89.29688","29.84064",""
"46","ASIA",1141,"Wednesday, April 08, 2015","ASIA - Analysis of surveillance systems in Cambodia, Laos, Thailand and Viet Nam suggests that severe human H7N9 infections in humans is unlikely to have occurred because the virus has not spread to the countries or that it has a lower incidence than H5N1 avian flu. The report, by researchers from the US Centers for Disease Control and Prevention and their counterparts in the four countries, is published in 'Emerging Infectious Diseases'.","Study Estimates H7N9 Transmission Risk","CIDRAP","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=800",2015-04-08,TRUE,3,-121,"89.29688","29.84064",""
"47","ASSAM",2702,"Monday, September 12, 2011","ASSAM, INDIA - The state is on alert after the detection of the highly pathogenic avian influenza (HPAI) virus in poultry in villages in the Dhubri district on 10 September.","Bird Flu Alert in Assam","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=2300",2011-09-12,TRUE,1,-307,"93","26","Assam"
"48","ATHENS",1311,"Friday, March 21, 2008","ATHENS - Authorities in northeastern Greece have been placed on alert after bird flu was detected among chickens in a Turkish border village, the Athens News Agency reported.","Greek farms near Turkey on bird flu alert","Thomson Financial","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=3700",2008-03-21,TRUE,5,-489,"23.71622","37.97945","Attica"
"49","ATHENS",450,"Monday, February 19, 2007","ATHENS - The country's main avian influenza research program is poised for a major renovation, including the possible creation of a new research laboratory that would become one of the largest buildings in Athens.The University of Georgia's Southeastern Poultry Research Laboratory is showing its age, but the federal government is considering a 16 (M) million dollars plan to design a new facility for the lab. The item was included in President Bush's proposed budget for the 2008 fiscal year.","Kestrel tests positive for bird flu in Hong Kong","Fox21","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4560",2007-02-19,TRUE,1,-545,"23.71622","37.97945","Attica"
"50","ATLANTA",151,"Tuesday, December 05, 2006","ATLANTA - The Centers for Disease Control and Prevention today announced $11.4 million in new contracts to four companies working to develop new diagnostic tests that doctors and field epidemiologists could eventually use to quickly and accurately test patients for avian influenza H5N1 and other emerging influenza viruses, as well as more common influenza viruses. The tests could provide public health experts worldwide with critical information on the influenza viruses circulating and help monitor for viruses that could cause a global influenza pandemic.","CDC Awards $11.4 Million to Develop New Rapid Diagnostic Tests for Avian Influenza","PR Newswire","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4860",2006-12-05,TRUE,2,-556,"-84.38798","33.749","Georgia"
"51","ATLANTA",1319,"Wednesday, March 19, 2008","ATLANTA - More than 10 years after the first appearance of avian influenza H5N1, it is time to acknowledge that the virus has become entrenched in many areas and to begin grappling with its social and economic effects, leading researchers said at a scientific meeting. ","Face Up to Socioeconomic Toll of H5N1, Experts Urge","Atlanta","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=3700",2008-03-19,TRUE,3,-489,"-84.38798","33.749","Georgia"
"52","AUSTRALIA",714,"Tuesday, May 08, 2007","AUSTRALIA - IT SEEMS we can cope with only one potential crisis at a time, and the current focus on global warming has pushed the possibility of a bird flu pandemic out of the headlines. Yet there is little room for complacency, and a pandemic remains as likely now as it was a year ago.   A senior US health official, here for talks with his Australian counterparts, highlighted how under-prepared both nations are for a pandemic long overdue. ","Australians still at risk from flu pandemic","Canberra","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4300",2007-05-08,TRUE,2,-534,"135","-25",""
"53","AUSTRALIA",420,"Thursday, December 05, 2013","AUSTRALIA - With recent avian influenza outbreaks front-of-mind, the Australian Egg Corporation Ltd (AECL) today launched a new initiative aimed at reducing the risk of future disease outbreaks among Australia’s laying hens.","New Website to Help Reduce Risk of Avian Influenza","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1540",2013-12-05,TRUE,4,-191,"135","-25",""
"54","AUSTRALIA",2836,"Monday, January 30, 2012","AUSTRALIA - An outbreak of low-pathogenic avian influenza has been reported to the OIE by Dr Mark Andrew Schipp, Chief Veterinary Officer, Ministry of Agriculture, Fisheries and Forestry, Australia.","OIE: LPAI Outbreak in Australia","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=2180",2012-01-30,TRUE,1,-287,"135","-25",""
"55","AUSTRALIA",9,"Friday, February 01, 2013","AUSTRALIA - Researchers in Newcastle are doing their bit to help protect the world against a potentially deadly outbreak of the bird flu virus.","Volunteers Wanted for Bird Flu Vaccine Trial","ABC News","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1940",2013-02-01,TRUE,5,-235,"135","-25",""
"56","AUSTRALIA",1409,"Wednesday, July 22, 2015","AUSTRALIA - Researchers from the University of Sydney have found a huge gap in knowledge about diseases which could spread to humans.","Lack of Knowledge on Animal Diseases Leaves Humans at Risk","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=540",2015-07-22,TRUE,3,-106,"135","-25",""
"57","AUSTRALIA",1383,"Thursday, May 01, 2008","AUSTRALIA - Two bird flu vaccines have won the first nod from a government committee for registration to protect Australians against an avian flu pandemic.","Bird Flu Vaccines Get First Thumbs Up","TheAge","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=3620",2008-05-01,TRUE,4,-483,"135","-25",""
"58","AUSTRALIA",3035,"Wednesday, November 21, 2012","AUSTRALIA - Swift action by industry, New South Wales' Department of Primary Industries and the Livestock Health and Pest Authorities has successfully eradicated an outbreak of H7 avian influenza at an egg production farm near Maitland.","Swift Action Eradicates Bird Flu at Egg Farm","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1980",2012-11-21,TRUE,3,-245,"135","-25",""
"59","AUSTRALIA",459,"Friday, January 10, 2014","AUSTRALIA - Researchers at the University of Melbourne have discovered a genetic marker that can accurately predict which patients will experience more severe disease in a new strain of influenza (H7N9) currently found in China.Published in the 'Journal Proceedings of the National Academy of Sciences', senior author, Associate Professor Katherine Kedzierska from the Department of Microbiology and Immunology said that being able to predict which patients will be more susceptible to the emerging influenza strain, will allow clinicians to better manage an early intervention strategy","Genetic Clue to Fighting New Strains of Flu","University of Melbourne","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1500",2014-01-10,TRUE,5,-186,"135","-25",""
"60","AUSTRALIA",2834,"Tuesday, January 31, 2012","AUSTRALIA - The Australian Chicken Meat Federation said that while the finding of a low pathogenic strain of Avian Influenza (LPAI) on a duck farm at two locations in north-west suburban Melbourne was not of concern to human health, industry and government are working quickly to eliminate the disease. The virus was detected during routine testing.","Avian Influenza on Victorian Duck Farm Not a Risk to Humans","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=2180",2012-01-31,TRUE,2,-287,"135","-25",""
"61","AUSTRALIA",937,"Thursday, August 23, 2007","AUSTRALIA - Ilegal Indonesian fishing raises the risk of diseases such as bird flu and rabies being brought into Australia, the government has warned after a skirmish between a warship and a poacher.","Illegal fishing threatens Australia with bird-flu","DailyTelegraph","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4080",2007-08-23,TRUE,4,-519,"135","-25",""
"62","AUSTRALIA",389,"Monday, December 02, 2013","AUSTRALIA - Some of the chickens destroyed as the result of an avian influenza breakout on a farm near Young, may eventually help regenerate the property.","Bird Flu Affected Farms Near Young to Begin Restocking This Month","ABC News","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1560",2013-12-02,TRUE,1,-191,"135","-25",""
